"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","STINT","TOT","PC_PA","Q","2013-Q4",0.2409,
"FRA","STINT","TOT","PC_PA","Q","2014-Q1",0.2951333,
"FRA","STINT","TOT","PC_PA","Q","2014-Q2",0.2985667,
"FRA","STINT","TOT","PC_PA","Q","2014-Q3",0.1645667,
"FRA","STINT","TOT","PC_PA","Q","2014-Q4",0.08146667,
"FRA","STINT","TOT","PC_PA","Q","2015-Q1",0.04603333,
"FRA","STINT","TOT","PC_PA","Q","2015-Q2",-0.006533334,
"FRA","STINT","TOT","PC_PA","Q","2015-Q3",-0.0278,
"FRA","STINT","TOT","PC_PA","Q","2015-Q4",-0.08916666,
"FRA","STINT","TOT","PC_PA","Q","2016-Q1",-0.1860667,
"FRA","STINT","TOT","PC_PA","Q","2016-Q2",-0.2581,
"FRA","STINT","TOT","PC_PA","Q","2016-Q3",-0.2981,
"FRA","STINT","TOT","PC_PA","Q","2016-Q4",-0.3125,
"FRA","STINT","TOT","PC_PA","Q","2017-Q1",-0.3278,
"FRA","STINT","TOT","PC_PA","Q","2017-Q2",-0.3299667,
"FRA","STINT","TOT","PC_PA","Q","2017-Q3",-0.3296333,
"FRA","STINT","TOT","PC_PA","Q","2017-Q4",-0.3288,
"FRA","STINT","TOT","PC_PA","Q","2018-Q1",-0.3283,
"FRA","STINT","TOT","PC_PA","Q","2018-Q2",-0.3252333,
"CHL","STINT","TOT","PC_PA","Q","2001-Q1",7.5,
"CHL","STINT","TOT","PC_PA","Q","2001-Q2",8.016666,
"CHL","STINT","TOT","PC_PA","Q","2001-Q3",6.896667,
"CHL","STINT","TOT","PC_PA","Q","2001-Q4",6.52,
"CHL","STINT","TOT","PC_PA","Q","2002-Q1",5.43,
"CHL","STINT","TOT","PC_PA","Q","2002-Q2",4.19,
"CHL","STINT","TOT","PC_PA","Q","2002-Q3",3.153333,
"CHL","STINT","TOT","PC_PA","Q","2002-Q4",2.926667,
"CHL","STINT","TOT","PC_PA","Q","2003-Q1",2.853333,
"CHL","STINT","TOT","PC_PA","Q","2003-Q2",2.616667,
"CHL","STINT","TOT","PC_PA","Q","2003-Q3",2.916667,
"CHL","STINT","TOT","PC_PA","Q","2003-Q4",2.683333,
"CHL","STINT","TOT","PC_PA","Q","2004-Q1",1.65,
"CHL","STINT","TOT","PC_PA","Q","2004-Q2",1.443333,
"CHL","STINT","TOT","PC_PA","Q","2004-Q3",1.89,
"CHL","STINT","TOT","PC_PA","Q","2004-Q4",2.336667,
"CHL","STINT","TOT","PC_PA","Q","2005-Q1",2.756667,
"CHL","STINT","TOT","PC_PA","Q","2005-Q2",3.003333,
"CHL","STINT","TOT","PC_PA","Q","2005-Q3",3.696667,
"CHL","STINT","TOT","PC_PA","Q","2005-Q4",4.666667,
"CHL","STINT","TOT","PC_PA","Q","2006-Q1",4.503334,
"CHL","STINT","TOT","PC_PA","Q","2006-Q2",4.653333,
"CHL","STINT","TOT","PC_PA","Q","2006-Q3",5.11,
"CHL","STINT","TOT","PC_PA","Q","2006-Q4",5.036667,
"CHL","STINT","TOT","PC_PA","Q","2007-Q1",4.83,
"CHL","STINT","TOT","PC_PA","Q","2007-Q2",4.786667,
"CHL","STINT","TOT","PC_PA","Q","2007-Q3",5.273334,
"CHL","STINT","TOT","PC_PA","Q","2007-Q4",5.826667,
"CHL","STINT","TOT","PC_PA","Q","2008-Q1",6.57,
"CHL","STINT","TOT","PC_PA","Q","2008-Q2",6.87,
"CHL","STINT","TOT","PC_PA","Q","2008-Q4",8.27,
"CHL","STINT","TOT","PC_PA","Q","2009-Q1",4.596667,
"CHL","STINT","TOT","PC_PA","Q","2009-Q2",1.39,
"CHL","STINT","TOT","PC_PA","Q","2009-Q3",0.5166667,
"CHL","STINT","TOT","PC_PA","Q","2009-Q4",0.4833333,
"CHL","STINT","TOT","PC_PA","Q","2010-Q1",0.4833333,
"CHL","STINT","TOT","PC_PA","Q","2010-Q3",2.436667,
"CHL","STINT","TOT","PC_PA","Q","2010-Q4",3.29,
"CHL","STINT","TOT","PC_PA","Q","2011-Q1",3.913333,
"CHL","STINT","TOT","PC_PA","Q","2011-Q2",5.31,
"CHL","STINT","TOT","PC_PA","Q","2011-Q3",5.396667,
"CHL","STINT","TOT","PC_PA","Q","2011-Q4",5.125,
"CHL","STINT","TOT","PC_PA","Q","2012-Q1",4.963333,
"CHL","STINT","TOT","PC_PA","Q","2012-Q2",5.105,
"CHL","STINT","TOT","PC_PA","Q","2013-Q2",4.973333,
"CHL","STINT","TOT","PC_PA","Q","2013-Q3",4.815,
"CHL","STINT","TOT","PC_PA","Q","2014-Q1",4.226666,
"CHL","STINT","TOT","PC_PA","Q","2014-Q2",3.835,
"CHL","STINT","TOT","PC_PA","Q","2015-Q1",2.473333,
"CHL","STINT","TOT","PC_PA","Q","2015-Q2",2.94,
"CHL","STINT","TOT","PC_PA","Q","2016-Q1",3.573333,
"CHL","STINT","TOT","PC_PA","Q","2016-Q2",3.52,
"CHL","STINT","TOT","PC_PA","Q","2016-Q3",3.493333,
"CHL","STINT","TOT","PC_PA","Q","2017-Q2",2.583333,
"CHL","STINT","TOT","PC_PA","Q","2017-Q3",2.47,
"CHL","STINT","TOT","PC_PA","Q","2017-Q4",2.495,
"CHL","STINT","TOT","PC_PA","Q","2018-Q1",2.546667,
"CHL","STINT","TOT","PC_PA","Q","2018-Q2",2.616667,
"BEL","STINT","TOT","PC_PA","Q","2001-Q1",4.745033,
"BEL","STINT","TOT","PC_PA","Q","2001-Q2",4.590766,
"BEL","STINT","TOT","PC_PA","Q","2001-Q3",4.267833,
"BEL","STINT","TOT","PC_PA","Q","2001-Q4",3.4435,
"BEL","STINT","TOT","PC_PA","Q","2002-Q1",3.362233,
